first_name	last_name	Had_Shift_Current_Year	Lead_Surgeries_Performed
Μιχάλης	Οικονόμου	Όχι	2
Μαρία	Σταυροπούλου	Όχι	2
Χάρης	Νικολάου	Όχι	1
Όλγα	Παπαδοπούλου	Ναι	1
Μάρκος	Παπανδρέου	Ναι	1
Λουκάς	Μακρής	Ναι	1
Νικόλας	Δημόπουλος	Ναι	1
Μάνος	Βλάχος	Ναι	1
Άρης	Νικολάου	Όχι	1
Χρυσούλα	Παπαντωνίου	Όχι	1
Χαρά	Μαυρίδου	Ναι	0
Δημήτρης	Σαββίδης	Ναι	0
Στέφανος	Φωτόπουλος	Ναι	0
Γεωργία	Καραβία	Ναι	0
Άρης	Αναγνώστου	Ναι	0
Τάσος	Δημητρίου	Ναι	0
Λάμπρος	Παπανδρέου	Ναι	0
Λάμπρος	Νικολάου	Ναι	0
Σωτήρης	Παπαντωνίου	Ναι	0
