+-------------+----------------------+----------------------------+------------+
| amka        | first_name           | last_name                  | staff_type |
+-------------+----------------------+----------------------------+------------+
| 01794748038 | Χρήστος              | Γεωργίου                   | Nurse      |
| 05690882454 | Αγγελική             | Αλεξίου                    | Doctor     |
| 05711127019 | Χρήστος              | Καραμπίνης                 | Nurse      |
| 07696124095 | Θανάσης              | Παπαδόπουλος               | Doctor     |
| 10401098527 | Στέφανος             | Φωτόπουλος                 | Doctor     |
| 12792169080 | Χάρης                | Λάμπρου                    | Nurse      |
| 14147450389 | Μάρκος               | Παπανδρέου                 | Doctor     |
| 15329938531 | Χάρης                | Νικολάου                   | Doctor     |
| 16884597314 | Τασία                | Σταυροπούλου               | Nurse      |
| 17070403275 | Σωτήρης              | Παπαντωνίου                | Doctor     |
| 17610371014 | Ευαγγελία            | Αντωνίου                   | Nurse      |
| 19913591237 | Βασιλική             | Σαμαρά                     | Nurse      |
| 21013422314 | Δημήτρης             | Γεωργίου                   | Nurse      |
| 21765210406 | Στέφανος             | Αλεξίου                    | Admin      |
| 24667770086 | Γεωργία              | Καραμανλή                  | Doctor     |
| 25370002452 | Ευαγγελία            | Καραγιάννη                 | Nurse      |
| 27151285494 | Λάμπρος              | Παπανδρέου                 | Doctor     |
| 30211436526 | Αικατερίνη           | Παπανικολάου               | Nurse      |
| 30553984064 | Νικόλας              | Δημόπουλος                 | Doctor     |
| 32978517936 | Καλλιόπη             | Παπαγεωργίου               | Nurse      |
| 37298630376 | Χρήστος              | Παπαδόπουλος               | Nurse      |
| 37444383812 | Ζωή                  | Μητσοτάκη                  | Nurse      |
| 38691724589 | Μαρία                | Σταυροπούλου               | Doctor     |
| 39092732225 | Μάνος                | Καραβίας                   | Nurse      |
| 40986396715 | Σάββας               | Σταυρόπουλος               | Nurse      |
| 42495042249 | Παναγιώτης           | Παπαντωνίου                | Nurse      |
| 42918702058 | Μάριος               | Κουρής                     | Admin      |
| 45529729507 | Όλγα                 | Παπαδοπούλου               | Doctor     |
| 48170640172 | Αναστασία            | Παπαντωνίου                | Nurse      |
| 51735224837 | Ασημίνα              | Γεωργίου                   | Admin      |
| 52351344498 | Νίκος                | Καρράς                     | Doctor     |
| 53274310768 | Παρασκευή            | Παπαντωνίου                | Nurse      |
| 54587890116 | Ελένη                | Αντωνίου                   | Nurse      |
| 56113394612 | Παρασκευή            | Πολίτη                     | Admin      |
| 56913305598 | Ευαγγελία            | Κουρή                      | Nurse      |
| 58437342424 | Σωτήρης              | Αλεξίου                    | Doctor     |
| 59105678414 | Βασιλική             | Πολίτη                     | Admin      |
| 60052615250 | Στέφανος             | Πατέρας                    | Doctor     |
| 60582440957 | Σωτήρης              | Σταυρόπουλος               | Doctor     |
| 60702244241 | Ελένη                | Πολίτη                     | Doctor     |
| 62094743421 | Χρυσούλα             | Παπαντωνίου                | Doctor     |
| 67051873160 | Φωτεινή              | Τσιπρά                     | Admin      |
| 67458479867 | Ευαγγελία            | Ιωαννίδου                  | Nurse      |
| 68307912309 | Θοδωρής              | Αναγνώστου                 | Doctor     |
| 68747276062 | Παρασκευή            | Ζαφειροπούλου              | Nurse      |
| 68790876886 | Παναγιώτα            | Ιωαννίδου                  | Doctor     |
| 70334362341 | Βαρβάρα              | Οικονόμου                  | Nurse      |
| 75550296813 | Σωτήρης              | Νικολάου                   | Doctor     |
| 77083459663 | Βαρβάρα              | Ζαφειροπούλου              | Nurse      |
| 82280228216 | Παρασκευή            | Τσιπρά                     | Nurse      |
| 82401581736 | Αναστασία            | Στεφανίδου                 | Nurse      |
| 82811268933 | Νατάσα               | Παππά                      | Doctor     |
| 84621284223 | Φωτεινή              | Καραγιάννη                 | Nurse      |
| 85267284898 | Αντώνης              | Ζαφειρόπουλος              | Nurse      |
| 85477032871 | Στέλλα               | Αντωνίου                   | Admin      |
| 86151265928 | Νικολέτα             | Αλεξίου                    | Doctor     |
| 88098945438 | Ανδρέας              | Σαμαράς                    | Doctor     |
| 93960132544 | Γεωργία              | Καραβία                    | Doctor     |
| 97699532547 | Δέσποινα             | Πατέρα                     | Admin      |
+-------------+----------------------+----------------------------+------------+
