patient_amka	first_name	last_name	Hosp_Year	Total_Days
36375574917	Παύλος	Δημόπουλος	2026	26
83469164857	Σοφία	Αλεξίου	2026	26
20623582337	Χριστίνα	Μακρή	2026	20
41108869443	Αλεξάνδρα	Αναγνώστου	2026	20
96478600439	Καλλιόπη	Πετροπούλου	2026	20
51566751641	Σωτήρης	Μανωλάς	2025	38
31171054912	Ασημίνα	Νικολάου	2025	38
96470658295	Ιωάννα	Δημητρίου	2025	37
17897974522	Σοφία	Μανωλά	2025	37
24244203288	Θανάσης	Αντωνίου	2025	33
23773124028	Αναστασία	Σταυροπούλου	2025	33
77003725311	Μαρίνα	Παπαδοπούλου	2025	33
43429628140	Αικατερίνη	Αντωνίου	2025	33
28318048335	Σωτήρης	Αλεξίου	2025	31
63848589410	Λάζαρος	Καραγιάννης	2025	31
42160022406	Δέσποινα	Πετροπούλου	2025	28
96908296129	Ανδρέας	Ιωαννίδης	2025	28
75490785922	Όλγα	Κωνσταντίνου	2025	26
74553851762	Λίτσα	Οικονόμου	2025	26
13555652024	Στέλιος	Στεφανίδης	2025	26
26458911702	Μαρία	Βλάχου	2025	23
50197634723	Χριστίνα	Πολίτη	2025	23
82899880401	Ορέστης	Γεωργίου	2025	23
58037531758	Αντώνης	Τσιπράς	2025	20
02378590111	Πελαγία	Παπακωνσταντίνου	2025	20
66870134991	Αλεξάνδρα	Μακρή	2025	20
07670724361	Χρήστος	Καραγιάννης	2025	20
08467944551	Βασίλης	Αναγνώστου	2025	19
56391779372	Χρυσούλα	Νικολάου	2025	19
25498466959	Ανδρέας	Σαββίδης	2025	19
72950256042	Χαρά	Στεφανίδου	2025	19
63069275293	Αλέξανδρος	Πολίτης	2025	19
20372354330	Νατάσα	Λάμπρου	2025	19
57782433657	Χάρης	Καραμανλής	2025	18
06494058736	Ζωή	Οικονόμου	2025	18
01135181085	Πέτρος	Στεφανίδης	2025	18
93762206851	Χρήστος	Σταυρόπουλος	2025	18
62006044624	Ανδρέας	Παπανικολάου	2025	18
60985620787	Χριστίνα	Καραγιάννη	2025	18
63700270113	Παρασκευή	Σαμαρά	2025	18
35531457919	Βασιλική	Παππά	2025	18
82478539559	Σπύρος	Παπανικολάου	2025	18
17615025657	Στέλιος	Σταυρόπουλος	2025	18
97893609074	Ελισάβετ	Παπανδρέου	2025	17
33132622365	Λουκάς	Χατζηγεωργίου	2025	17
64156944302	Δήμητρα	Σταυροπούλου	2025	17
