first_name	last_name	Surgeries_Performed
Μιχάλης	Δημητρίου	2
Στέφανος	Κουρής	2
Παύλος	Σταυρόπουλος	1
Βαρβάρα	Παπανικολάου	1
Μαρία	Μαυρίδου	1
Φωτεινή	Παππά	1
Χριστίνα	Πετροπούλου	1
Σπυριδούλα	Καραμπίνη	1
Μάριος	Δημόπουλος	1
Σοφία	Μανωλά	1
Αναστασία	Μανωλά	1
Ευαγγελία	Δημοπούλου	1
Τάσος	Λάμπρου	1
Αλέξανδρος	Παπακωνσταντίνου	1
Γρηγόρης	Οικονόμου	1
Βαρβάρα	Ζαφειροπούλου	1
Όλγα	Παπαδοπούλου	1
Νικολέτα	Βλάχου	1
Λάζαρος	Καρράς	1
Λευτέρης	Μανωλάς	1
Τασία	Καραμπίνη	1
Λευτέρης	Χατζηγεωργίου	1
Γιώργος	Καραγιάννης	1
Νικόλας	Παπαγεωργίου	1
Αλεξάνδρα	Σταυροπούλου	1
Αναστασία	Αντωνίου	1
Βασίλης	Χατζηγεωργίου	1
Ηλίας	Σπυρόπουλος	0
Σωτήρης	Παπαντωνίου	0
Στέφανος	Φωτόπουλος	0
Λουκάς	Σιδέρης	0
Νίκος	Καρράς	0
Μάκης	Ζαφειρόπουλος	0
Ζωή	Καραγιάννη	0
Παναγιώτης	Τσιπράς	0
Αγγελική	Παπακωνσταντίνου	0
Τάσος	Αναγνώστου	0
Ντίνα	Ιωαννίδου	0
Αναστασία	Παπαγεωργίου	0
Αγγελική	Καρρά	0
Ντίνα	Καρρά	0
Φώτης	Ζαφειρόπουλος	0
Ζωή	Στεφανίδου	0
Σάββας	Παπαγεωργίου	0
Αντώνης	Κουρής	0
Φώτης	Αντωνίου	0
Φωτεινή	Σταυροπούλου	0
Μάριος	Παπανικολάου	0
Σωτήρης	Αλεξίου	0
Θανάσης	Αλεξίου	0
Λαμπρινή	Αναγνώστου	0
Νατάσα	Παππά	0
Μαρία	Καραμπίνη	0
Μιχάλης	Μαυρίδης	0
Άρης	Αναγνώστου	0
