+----------------------------------+----------------------------------+-----------------+
| Doctor_LastName                  | Supervisor_LastName              | Hierarchy_Level |
+----------------------------------+----------------------------------+-----------------+
| Αλεξίου                          | Παπαντωνίου                      |               1 |
| Αλεξίου                          | Δημητρίου                        |               1 |
| Αλεξίου                          | Βασιλείου                        |               1 |
| Αλεξίου                          | Νικολάου                         |               1 |
| Αλεξίου                          | Νικολάου                         |               1 |
| Αλεξίου                          | Χατζηγεωργίου                    |               1 |
| Αλεξίου                          | Αναγνώστου                       |               1 |
| Αλεξίου                          | Σιδέρης                          |               1 |
| Αλεξίου                          | Νικολάου                         |               2 |
| Αλεξίου                          | Δημητρίου                        |               2 |
| Αλεξίου                          | Παπαγεωργίου                     |               2 |
| Αλεξίου                          | Ιωαννίδης                        |               2 |
| Αλεξίου                          | Παπανδρέου                       |               2 |
| Αλεξίου                          | Δημόπουλος                       |               3 |
| Αναγνώστου                       | Ιωαννίδης                        |               1 |
| Αναγνώστου                       | Ιωαννίδης                        |               1 |
| Αναγνώστου                       | Καραγιάννης                      |               1 |
| Αναγνώστου                       | Πατέρας                          |               1 |
| Αναγνώστου                       | Πετροπούλου                      |               1 |
| Αναγνώστου                       | Κωνσταντίνου                     |               1 |
| Αναγνώστου                       | Κουρή                            |               1 |
| Αναγνώστου                       | Παπαγεωργίου                     |               1 |
| Αναγνώστου                       | Πετρόπουλος                      |               1 |
| Αναγνώστου                       | Σαββίδης                         |               1 |
| Αναγνώστου                       | Μακρής                           |               1 |
| Αναγνώστου                       | Καραβία                          |               2 |
| Αναγνώστου                       | Δημητρίου                        |               2 |
| Αναγνώστου                       | Δημητρίου                        |               2 |
| Αναγνώστου                       | Σιδέρης                          |               2 |
| Αναγνώστου                       | Παπαγεωργίου                     |               2 |
| Αναγνώστου                       | Στεφανίδου                       |               2 |
| Αναγνώστου                       | Αναγνώστου                       |               2 |
| Αναγνώστου                       | Μαυρίδου                         |               2 |
| Αναγνώστου                       | Σπυρόπουλος                      |               3 |
| Αναγνώστου                       | Ιωαννίδης                        |               3 |
| Αναγνώστου                       | Δημόπουλος                       |               3 |
| Αναγνώστου                       | Μαυρίδης                         |               3 |
| Αναγνώστου                       | Σταυρόπουλος                     |               3 |
| Αντωνίου                         | Αντωνίου                         |               1 |
| Αντωνίου                         | Ιωαννίδης                        |               1 |
| Αντωνίου                         | Αντωνίου                         |               1 |
| Αντωνίου                         | Νικολάου                         |               1 |
| Αντωνίου                         | Νικολάου                         |               1 |
| Αντωνίου                         | Λάμπρου                          |               1 |
| Αντωνίου                         | Σπυρόπουλος                      |               1 |
| Αντωνίου                         | Νικολάου                         |               2 |
| Βασιλείου                        | Δημητρίου                        |               1 |
| Βασιλείου                        | Αλεξίου                          |               1 |
| Βασιλείου                        | Δημόπουλος                       |               1 |
| Βασιλείου                        | Αναγνώστου                       |               1 |
| Βασιλείου                        | Βασιλείου                        |               2 |
| Βασιλείου                        | Παπαγεωργίου                     |               2 |
| Βασιλείου                        | Δημητρίου                        |               3 |
| Βλάχος                           | Παππά                            |               1 |
| Βλάχος                           | Παπανδρέου                       |               1 |
| Βλάχος                           | Κουρής                           |               1 |
| Βλάχος                           | Σπυρόπουλος                      |               2 |
| Βλάχος                           | Σιδέρης                          |               2 |
| Βλάχος                           | Λάμπρου                          |               2 |
| Βλάχος                           | Βλάχου                           |               3 |
| Βλάχου                           | Βλάχου                           |               1 |
| Βλάχου                           | Ιωαννίδης                        |               1 |
| Βλάχου                           | Τσιπράς                          |               1 |
| Βλάχου                           | Κωνσταντίνου                     |               1 |
| Βλάχου                           | Μαυρίδης                         |               1 |
| Βλάχου                           | Μακρής                           |               1 |
| Βλάχου                           | Μαυρίδης                         |               2 |
| Βλάχου                           | Νικολάου                         |               2 |
| Βλάχου                           | Βλάχου                           |               2 |
| Βλάχου                           | Μαυρίδης                         |               2 |
| Γεωργίου                         | Καραβίας                         |               1 |
| Γεωργίου                         | Φωτόπουλος                       |               1 |
| Γεωργίου                         | Παπαγεωργίου                     |               1 |
| Γεωργίου                         | Νικολάου                         |               1 |
| Γεωργίου                         | Πατέρας                          |               1 |
| Γεωργίου                         | Πετρόπουλος                      |               1 |
| Γεωργίου                         | Μακρής                           |               1 |
| Γεωργίου                         | Δημόπουλος                       |               2 |
| Γεωργίου                         | Δημητρίου                        |               2 |
| Γεωργίου                         | Σταυρόπουλος                     |               2 |
| Γεωργίου                         | Χατζηγεωργίου                    |               2 |
| Γεωργίου                         | Τσιπράς                          |               2 |
| Γεωργίου                         | Σιδέρης                          |               2 |
| Γεωργίου                         | Παπαγεωργίου                     |               3 |
| Γεωργίου                         | Νικολάου                         |               3 |
| Δημητρίου                        | Ιωαννίδου                        |               1 |
| Δημητρίου                        | Καραβία                          |               1 |
| Δημητρίου                        | Καραμπίνη                        |               1 |
| Δημητρίου                        | Νικολάου                         |               1 |
| Δημητρίου                        | Μαυρίδου                         |               1 |
| Δημητρίου                        | Χατζηγεωργίου                    |               1 |
| Δημητρίου                        | Λάμπρου                          |               1 |
| Δημητρίου                        | Μαυρίδης                         |               1 |
| Δημητρίου                        | Σπυρόπουλος                      |               2 |
| Δημητρίου                        | Μαυρίδης                         |               2 |
| Δημητρίου                        | Νικολάου                         |               2 |
| Δημητρίου                        | Αντωνίου                         |               2 |
| Δημητρίου                        | Παπαγεωργίου                     |               2 |
| Δημητρίου                        | Βλάχου                           |               2 |
| Δημητρίου                        | Αντωνίου                         |               3 |
| Δημόπουλος                       | Γεωργίου                         |               1 |
| Δημόπουλος                       | Αναγνώστου                       |               1 |
| Δημόπουλος                       | Μαυρίδου                         |               1 |
| Δημόπουλος                       | Ζαφειρόπουλος                    |               1 |
| Δημόπουλος                       | Βλάχος                           |               1 |
| Δημόπουλος                       | Λάμπρου                          |               1 |
| Δημόπουλος                       | Πατέρας                          |               2 |
| Δημόπουλος                       | Πετροπούλου                      |               2 |
| Δημόπουλος                       | Αντωνίου                         |               2 |
| Δημόπουλος                       | Καραμανλή                        |               2 |
| Δημόπουλος                       | Παππά                            |               2 |
| Δημόπουλος                       | Σπυρόπουλος                      |               3 |
| Δημόπουλος                       | Δημητρίου                        |               3 |
| Δημόπουλος                       | Δημητρίου                        |               3 |
| Δημόπουλος                       | Αντωνίου                         |               3 |
| Δημόπουλος                       | Λάμπρου                          |               3 |
| Δημοπούλου                       | Σαμαρά                           |               1 |
| Δημοπούλου                       | Παπαγεωργίου                     |               1 |
| Δημοπούλου                       | Πετρόπουλος                      |               1 |
| Δημοπούλου                       | Λάμπρου                          |               1 |
| Δημοπούλου                       | Μαυρίδης                         |               1 |
| Δημοπούλου                       | Αντωνίου                         |               2 |
| Δημοπούλου                       | Δημόπουλος                       |               2 |
| Δημοπούλου                       | Σταυρόπουλος                     |               2 |
| Δημοπούλου                       | Βλάχου                           |               2 |
| Ζαφειρόπουλος                    | Σαββίδου                         |               1 |
| Ζαφειρόπουλος                    | Καραμανλή                        |               1 |
| Ζαφειρόπουλος                    | Δημητρίου                        |               1 |
| Ζαφειρόπουλος                    | Λάμπρου                          |               2 |
| Ζαφειρόπουλος                    | Μαυρίδης                         |               2 |
| Ζαφειρόπουλος                    | Σιδέρης                          |               2 |
| Ζαφειρόπουλος                    | Βλάχου                           |               3 |
| Ζαφειροπούλου                    | Σπυρόπουλος                      |               1 |
| Ζαφειροπούλου                    | Μανωλά                           |               1 |
| Ζαφειροπούλου                    | Παπαδόπουλος                     |               2 |
| Ζαφειροπούλου                    | Δημόπουλος                       |               3 |
| Ιωαννίδης                        | Μαυρίδης                         |               1 |
| Ιωαννίδου                        | Ιωαννίδης                        |               1 |
| Ιωαννίδου                        | Γεωργίου                         |               1 |
| Ιωαννίδου                        | Καραμανλής                       |               1 |
| Ιωαννίδου                        | Μαυρίδης                         |               1 |
| Ιωαννίδου                        | Σπυρόπουλος                      |               1 |
| Ιωαννίδου                        | Πατέρας                          |               2 |
| Ιωαννίδου                        | Σπυρόπουλος                      |               2 |
| Ιωαννίδου                        | Δημητρίου                        |               3 |
| Καραβία                          | Παπαδάκη                         |               1 |
| Καραβία                          | Βλάχου                           |               1 |
| Καραβία                          | Παπαντωνίου                      |               1 |
| Καραβία                          | Μαυρίδης                         |               1 |
| Καραβία                          | Ιωαννίδης                        |               2 |
| Καραβία                          | Μητσοτάκης                       |               2 |
| Καραβία                          | Πολίτη                           |               3 |
| Καραβίας                         | Τσιπράς                          |               1 |
| Καραβίας                         | Χατζηγεωργίου                    |               1 |
| Καραβίας                         | Νικολάου                         |               2 |
| Καραβίας                         | Παπανικολάου                     |               2 |
| Καραβίας                         | Βλάχου                           |               3 |
| Καραγιάννη                       | Χατζηγεωργίου                    |               1 |
| Καραγιάννη                       | Παππά                            |               1 |
| Καραγιάννη                       | Σπυρόπουλος                      |               2 |
| Καραγιάννη                       | Σπυρόπουλος                      |               2 |
| Καραγιάννης                      | Σπυρόπουλος                      |               1 |
| Καραγιάννης                      | Καραβία                          |               1 |
| Καραγιάννης                      | Παπαδοπούλου                     |               1 |
| Καραγιάννης                      | Παπακωνσταντίνου                 |               1 |
| Καραγιάννης                      | Βλάχου                           |               1 |
| Καραγιάννης                      | Μαυρίδης                         |               2 |
| Καραγιάννης                      | Ιωαννίδου                        |               2 |
| Καραγιάννης                      | Σπυρόπουλος                      |               2 |
| Καραγιάννης                      | Βλάχου                           |               2 |
| Καραγιάννης                      | Σπυρόπουλος                      |               3 |
| Καραγιάννης                      | Μαυρίδης                         |               3 |
| Καραμανλή                        | Δημόπουλος                       |               1 |
| Καραμανλή                        | Παπακωνσταντίνου                 |               1 |
| Καραμανλή                        | Αναγνώστου                       |               1 |
| Καραμανλή                        | Καραγιάννης                      |               1 |
| Καραμανλή                        | Λάμπρου                          |               1 |
| Καραμανλή                        | Δημητρίου                        |               1 |
| Καραμανλή                        | Σιδέρης                          |               2 |
| Καραμανλή                        | Ιωαννίδης                        |               2 |
| Καραμανλή                        | Σπυρόπουλος                      |               2 |
| Καραμανλής                       | Σταυρόπουλος                     |               1 |
| Καραμανλής                       | Σπυρόπουλος                      |               1 |
| Καραμπίνη                        | Καραβία                          |               1 |
| Καραμπίνη                        | Πετροπούλου                      |               1 |
| Καραμπίνη                        | Νικολάου                         |               1 |
| Καραμπίνη                        | Μαυρίδης                         |               1 |
| Καραμπίνη                        | Βλάχου                           |               2 |
| Καραμπίνη                        | Δημητρίου                        |               2 |
| Καραμπίνης                       | Μητσοτάκης                       |               1 |
| Καραμπίνης                       | Αλεξίου                          |               1 |
| Καραμπίνης                       | Παπαγεωργίου                     |               1 |
| Καραμπίνης                       | Νικολάου                         |               2 |
| Καραμπίνης                       | Σπυρόπουλος                      |               2 |
| Καραμπίνης                       | Πολίτη                           |               2 |
| Καρρά                            | Γεωργίου                         |               1 |
| Καρρά                            | Παπαδόπουλος                     |               1 |
| Καρρά                            | Παπανδρέου                       |               1 |
| Καρρά                            | Δημητρίου                        |               1 |
| Καρρά                            | Πετρόπουλος                      |               2 |
| Καρρά                            | Δημόπουλος                       |               2 |
| Καρρά                            | Σιδέρης                          |               2 |
| Καρρά                            | Σταυρόπουλος                     |               3 |
| Καρράς                           | Σιδέρη                           |               1 |
| Καρράς                           | Ιωαννίδης                        |               1 |
| Καρράς                           | Γεωργίου                         |               1 |
| Καρράς                           | Βασιλείου                        |               1 |
| Καρράς                           | Χατζηγεωργίου                    |               2 |
| Καρράς                           | Μαυρίδης                         |               2 |
